|||Sütunlar||||||||||||
Satırlar|||Akdeniz-TR6|Batı Anadolu-TR5|Batı Karadeniz-TR8|Batı Marmara-TR2|Doğu Karadeniz-TR9|Doğu Marmara-TR4|Ege-TR3|Güneydoğu Anadolu-TRC|Kuzeydoğu Anadolu-TRA|Orta Anadolu-TR7|Ortadoğu Anadolu-TRB|İstanbul-TR1|
|||||||||||||||
|||||||||||||||
|Erkek ve 6-13 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|259.0|163.0|52.0|21.0|45.0|165.0|149.0|660.0|160.0|61.0|350.0|434.0|
|Erkek ve 6-13 ve İlkokul|2019|341894.0|232427.0|119386.0|84312.0|67479.0|225215.0|272644.0|380759.0|76780.0|123928.0|146183.0|427992.0|
|Erkek ve 60-64 ve Bilinmeyen|2019|3593.0|2566.0|1110.0|1072.0|997.0|2561.0|3270.0|1133.0|442.0|1700.0|522.0|5043.0|
|Erkek ve 60-64 ve Doktora|2019|645.0|1775.0|256.0|289.0|197.0|684.0|1061.0|260.0|159.0|262.0|217.0|2262.0|
|Erkek ve 60-64 ve Lise Ve Dengi Meslek Okulu|2019|41327.0|34775.0|19363.0|17685.0|14613.0|36164.0|46131.0|16959.0|6627.0|15791.0|12705.0|53931.0|
|Erkek ve 60-64 ve Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen|2019|5458.0|1582.0|4140.0|1972.0|1690.0|2393.0|5459.0|6641.0|1920.0|1661.0|3415.0|5049.0|
|Erkek ve 60-64 ve Okuma Yazma Bilmeyen|2019|2650.0|1079.0|1501.0|833.0|930.0|1471.0|1738.0|4297.0|1288.0|778.0|2334.0|2879.0|
|Erkek ve 60-64 ve Ortaokul Veya Dengi Meslek Ortaokul|2019|26514.0|20445.0|15027.0|11280.0|10047.0|24528.0|29297.0|12482.0|5124.0|12433.0|8189.0|33930.0|
|Erkek ve 60-64 ve Yüksek Lisans (5 Veya 6 Yıllık Fakülteler Dahil)|2019|1836.0|3234.0|600.0|739.0|440.0|1362.0|2493.0|509.0|203.0|465.0|297.0|5134.0|
|Erkek ve 60-64 ve Yüksekokul Veya Fakülte|2019|28966.0|32502.0|12937.0|12336.0|8908.0|20723.0|38982.0|7513.0|2780.0|9714.0|5989.0|38295.0|
